id,stemmed
176,"['bbm', 'campur', 'etanol', 'ramah', 'lingkung', 'bantu', 'tekan', 'emisi', 'karbon', 'kendara', 'cocok', 'jawab', 'pandu', 'lengkap', 'bioetanol', 'energiterbarukan', 'bbmramahlingkungan']"
177,"['kak', 'req', 'bahlil', 'etanol']"
178,"['tahu', 'beda', 'bahan', 'bakar', 'etanol', 'etanol', 'etanol', 'jenis', 'dampak', 'beda', 'mesin', 'konsumsi', 'bbm', 'baca', 'pandu', 'lengkap', 'bahanbakar', 'bbm', 'otomotif']"
179,"['konteks', 'nya', 'dpph', 'ges', 'simpan', 'ibu', 'saran', 'freezer', 'aja', 'nyimpennya', 'dilarutin', 'beku', 'beku', 'maksud', 'titik', 'beku', 'etanol', 'murni']"
180,"['energi', 'indonesia', 'gantung', 'minyak', 'fosil', 'etanol', 'solusi', 'baca', 'analisis', 'ekonomi', 'lingkung', 'energiindonesia', 'etanol', 'sustainableenergy']"
181,"['etanol', 'bbm', 'tantang', 'bahan', 'baku', 'lingkung', 'mesin', 'kendara', 'bahas', 'lengkap', 'imbang', 'biofuel', 'energinasional', 'bbm']"
182,"['santa', 'siram', 'etanol']"
183,"['campur', 'bbm', 'perhati', 'global', 'manfaat', 'tantang', 'artikel', 'lengkap', 'mudah', 'paham', 'etanol', 'energiberkelanjutan']"
184,"['etanol', 'bahan', 'bakar', 'tanam', 'energi', 'baru', 'fosil', 'indonesia', 'jawab', 'energihijau', 'biofuel', 'transisienergi']"
185,"['etanol', 'kendara', 'tani', 'industri', 'biofuel', 'lapang', 'kerja', 'baca', 'analisis', 'lengkap', 'ekonomipedesaan', 'bioenergi', 'energiterbarukan']"
186,"['polusi', 'udara', 'kota', 'parah', 'bbm', 'campur', 'etanol', 'bukti', 'tekan', 'emisi', 'bahaya', 'kendara', 'simak', 'data', 'polusiudara', 'bbmramahlingkungan', 'etanol']"
187,"['ayah', 'bau', 'etanol']"
188,"['harga', 'bbm', 'turun', 'campur', 'etanol', 'solusi', 'jangka', 'kurang', 'impor', 'minyak', 'hemat', 'devisa', 'jelas', 'lengkap', 'ketahananenergi', 'bbm', 'etanol', 'ekonominasional']"
189,"['etanol', 'bbm', 'udara', 'bersih', 'tani', 'sejahtera', 'tahan', 'energi', 'nasional', 'simak', 'manfaat', 'lengkap', 'biofuelindonesia', 'ekonomihijau', 'energibersih']"
190,"['pesona', 'cowok', 'etanol']"
